ID,Priority,Section,Title,URL Slug,Author,Status,Tags,Cluster,Structure,Internal Linking
1,High,Cloud Servers,Как выбрать сервер для ML-нагрузок,server-for-ml,graweo,Published,"ML,Infrastructure,Cloud","ML Infrastructure","H1: Как выбрать сервер для ML; H2: CPU vs GPU; H2: Архитектура; H2: Рекомендации; H3: Benchmarks","Link to: Terraform, Monitoring Stack, Corporate Networks | URL: /blog/server-for-ml | Published: 2026-03-15"
2,High,DevOps,Terraform: управление инфраструктурой как кодом,terraform-iac,graweo,Published,"DevOps,IaC,Terraform","Terraform","H1: Terraform; H2: Архитектура IaC; H2: Модули; H2: CI/CD","Link to: Vault, Monitoring Stack, Corporate Networks | Added: 2026-02-27"
3,High,Security,Vault: безопасное управление секретами,vault-secrets,graweo,Published,"Security,DevOps,Vault","Vault","H1: Vault; H2: Secrets Engines; H2: Policies; H2: Vault + Terraform","Link to: Terraform, Wazuh, Corporate Networks | Added: 2026-02-27"
4,High,Security,Wazuh: SIEM и безопасность облачной инфраструктуры,wazuh-siem,graweo,Draft,"Security,Monitoring,SIEM","Monitoring & Security","H1: Wazuh; H2: Архитектура; H2: Мониторинг угроз; H2: Установка","Link to: Monitoring Stack, Vault"
5,High,DevOps,Полный стек мониторинга: Prometheus, Grafana, Loki,monitoring-stack,graweo,Published,"Monitoring,DevOps,Observability","Monitoring","H1: Monitoring Stack; H2: Prometheus; H2: Grafana; H2: Loki","Link to: Wazuh, Terraform, ML Monitoring | Added: 2026-02-27"
6,High,Cloud Servers,Разворачивание корпоративных сетей в облаке,corporate-networks,graweo,Published,"Networks,Cloud,Security","Corporate Networks","H1: Корпоративные сети; H2: VPN; H2: VLAN; H2: Zero Trust","Link to: Vault, Terraform, Wazuh | Added: 2026-02-27"
7,High,AI Agents,Архитектура AI-агентов,ai-agents-architecture,graweo,Draft,"AI,Agents,LLM","AI Agents","H1: Архитектура; H2: Инструменты; H2: Многошаговая логика; H2: Примеры","Link to: RAG System, API Orchestration"
8,High,RAG,Как построить RAG-систему,rag-pipeline,graweo,Draft,"AI,RAG,LLM","RAG","H1: RAG; H2: Ingestion; H2: Embeddings; H2: Retrieval; H2: Generation","Link to: AI Agents, Azure AI Search"
9,Medium,Data Analytics,Spark vs Snowflake,spark-vs-snowflake,graweo,Draft,"Big Data,Analytics","Big Data","H1: Сравнение; H2: Архитектура; H2: Стоимость; H2: Производительность","Link to: ETL Pipeline, Feature Engineering"
10,Medium,Data Analytics,Как построить ETL-пайплайн,etl-pipeline,graweo,Draft,"ETL,Data Engineering","ETL","H1: ETL; H2: Extraction; H2: Transform; H2: Load","Link to: Spark vs Snowflake, Feature Engineering"
11,Medium,Web Apps,Современная архитектура веб-приложений,modern-web-apps,graweo,Draft,"Web,Architecture","Web Apps","H1: Архитектура; H2: Frontend; H2: Backend; H2: DevOps","Link to: API Orchestration, Serverless"
12,Medium,Web Scraping,Масштабируемый scraping-кластер,scraping-cluster,graweo,Draft,"Scraping,Cloud","Scraping","H1: Архитектура; H2: Очереди; H2: Прокси; H2: Хранилище","Link to: ETL Pipeline, ML Analytics"
13,Medium,API Integration,API-оркестрация для AI-агентов,api-orchestration,graweo,Draft,"API,AI,Agents","AI Agents","H1: API orchestration; H2: Tools; H2: Multi-step workflows","Link to: AI Agents Architecture, RAG System"
14,Medium,DevOps,CI/CD для ML-моделей,ml-cicd,graweo,Draft,"MLOps,DevOps","MLOps","H1: CI/CD; H2: Тесты; H2: Валидация; H2: Деплой","Link to: MLflow, Drift Detection"
15,Medium,Data Analytics,Feature engineering: 20 техник,feature-engineering,graweo,Draft,"ML,Analytics","ML","H1: Feature engineering; H2: Категориальные; H2: Временные; H2: Текстовые","Link to: ETL Pipeline, Spark vs Snowflake"
16,Medium,Web3,Как построить DApp,build-dapp,graweo,Draft,"Web3,Blockchain","Web3","H1: DApp; H2: Smart contracts; H2: Frontend; H2: Wallets","Link to: Web3 Infrastructure"
17,Low,Web Apps,20 техник ускорения веб-приложений,web-speed-optimization,graweo,Draft,"Web,Performance","Web Apps","H1: Оптимизация; H2: Backend; H2: Frontend","Link to: Modern Web Apps"
18,Low,Web Scraping,Этичный scraping,ethical-scraping,graweo,Draft,"Scraping,Legal","Scraping","H1: Правила; H2: Robots.txt; H2: Legal","Link to: Scraping Cluster"
19,Low,API Integration,REST vs GraphQL vs gRPC,api-protocols,graweo,Draft,"API,Architecture","API","H1: Сравнение; H2: Плюсы/минусы","Link to: Modern Web Apps"
20,Low,Web3,Web3-инфраструктура в облаке,web3-infrastructure,graweo,Draft,"Web3,Cloud","Web3","H1: Инфраструктура; H2: Узлы; H2: Безопасность","Link to: Build DApp"
